Occurred_Date,Occurred_Time,Reported_Date,Reported_Time,Crime,Detail,Beat
4/30/2018,1943,4/30/2018,2107,ROBBERY,STREET,D2
4/30/2018,1515,4/30/2018,2245,CAR PROWL,,U3
4/30/2018,1700,4/30/2018,1948,THEFT,ALL OTHER,K2
4/29/2018,2200,4/30/2018,1959,FAMILY OFFENSE,NONVIOLENT,S2
4/30/2018,2000,4/30/2018,2040,SEX OFFENSE,OTHER,D3
4/30/2018,2010,4/30/2018,2010,TRESPASS,,N3
4/30/2018,630,4/30/2018,2023,BURGLARY,RESIDENTIAL,C3
4/30/2018,1806,4/30/2018,2027,THEFT,SHOPLIFT,L2
4/30/2018,2032,4/30/2018,2206,BURGLARY,RESIDENTIAL,C2
4/30/2018,2049,4/30/2018,2049,THEFT,SHOPLIFT,E2
4/30/2018,2128,4/30/2018,2128,THEFT,ALL OTHER,G1
4/30/2018,2150,4/30/2018,2321,TRESPASS,,O1
4/30/2018,1500,4/30/2018,2142,MOTOR VEHICLE THEFT,,E3
4/27/2018,2100,4/30/2018,2217,RAPE,,E2
4/30/2018,2254,4/30/2018,2254,ROBBERY,STREET,M3
4/30/2018,2306,4/30/2018,2306,THEFT,ALL OTHER,O2
4/30/2018,2300,4/30/2018,2355,AGGRAVATED ASSAULT,,
4/30/2018,745,4/30/2018,1800,THEFT,BICYCLE,R1
4/30/2018,1200,4/30/2018,1200,SEX OFFENSE,OTHER,R2
4/29/2018,1000,4/30/2018,18,CAR PROWL,,Q3
4/29/2018,1310,4/30/2018,39,CAR PROWL,,E3
4/29/2018,1940,4/30/2018,655,CAR PROWL,,B1
4/30/2018,655,4/30/2018,710,CAR PROWL,,U3
4/30/2018,500,4/30/2018,822,CAR PROWL,,F2
4/30/2018,707,4/30/2018,843,CAR PROWL,,N3
4/27/2018,1700,4/30/2018,851,CAR PROWL,,B2
4/29/2018,140,4/30/2018,851,CAR PROWL,,J3
4/29/2018,1400,4/30/2018,902,CAR PROWL,,K1
4/30/2018,100,4/30/2018,919,CAR PROWL,,U3
4/29/2018,2100,4/30/2018,937,CAR PROWL,,F2
4/30/2018,500,4/30/2018,938,CAR PROWL,,D2
4/29/2018,2100,4/30/2018,1003,THEFT,ALL OTHER,R2
4/28/2018,2230,4/30/2018,1005,CAR PROWL,,J1
4/29/2018,1630,4/30/2018,1012,CAR PROWL,,C2
4/30/2018,0,4/30/2018,1145,CAR PROWL,,W3
4/29/2018,2340,4/30/2018,1147,TRESPASS,,N3
4/25/2018,1345,4/30/2018,1153,CAR PROWL,,K1
4/29/2018,2000,4/30/2018,1202,CAR PROWL,,Q3
4/30/2018,500,4/30/2018,1230,CAR PROWL,,B1
4/30/2018,640,4/30/2018,1246,CAR PROWL,,N1
4/27/2018,1900,4/30/2018,1401,THEFT,BUILDING,G2
4/30/2018,1400,4/30/2018,1402,THEFT,BUILDING,G3
11/19/2017,1820,4/30/2018,1832,CAR PROWL,,B1
4/26/2018,1030,4/30/2018,1835,THEFT,ALL OTHER,E3
4/30/2018,800,4/30/2018,1457,CAR PROWL,,U1
4/28/2018,1535,4/30/2018,1553,CAR PROWL,,R3
4/28/2018,1600,4/30/2018,1556,CAR PROWL,,B1
4/30/2018,1130,4/30/2018,1617,CAR PROWL,,C3
4/30/2018,1210,4/30/2018,1629,CAR PROWL,,M2
4/30/2018,730,4/30/2018,1859,CAR PROWL,,M1
2/1/2018,1840,4/30/2018,1844,BURGLARY,RESIDENTIAL,B1
4/28/2018,1600,4/30/2018,1928,THEFT,ALL OTHER,B3
4/30/2018,845,4/30/2018,1951,CAR PROWL,,M2
4/29/2018,2335,4/30/2018,2044,CAR PROWL,,U3
4/30/2018,1000,4/30/2018,2110,CAR PROWL,,B3
4/27/2018,1715,4/30/2018,2131,CAR PROWL,,B1
4/29/2018,1630,4/30/2018,2136,CAR PROWL,,B2
4/30/2018,1845,4/30/2018,2319,CAR PROWL,,D3
4/30/2018,915,4/30/2018,1628,CAR PROWL,,J3
4/21/2018,0,4/30/2018,1151,BURGLARY,COMMERCIAL,M2
4/28/2018,1830,4/30/2018,242,BURGLARY,RESIDENTIAL-SECURE PARKING,B2
4/29/2018,1515,4/30/2018,1136,CAR PROWL,,L2
